"Deck, Trial",color,number,C,DI-1,DR-1,DI-2,DR-2,DI-3,DR-3,EI-1,ER-1,EC-1
"red, 40",red,40,1,1,1,1,0,0,0,1,1,-0.7142857142857143
"white, 40",white,40,0,0,0,0,0,1,1,0,0,-0.2727272727272727
"black, 40",black,40,0,0,0,0,0,0,0,0,0,-0.2727272727272727
"red, 41",red,41,1,1,1,1,1,1,0,1,1,-0.7142857142857143
"white, 41",white,41,0,0,0,0,0,0,0,0,0,-0.2727272727272727
"black, 41",black,41,0,0,0,0,0,0,0,0,0,-0.2727272727272727
"red, 42",red,42,0,1,1,1,1,1,1,1,0,-0.3333333333333333
"white, 42",white,42,0,0,0,0,0,0,0,0,0,-0.5384615384615384
"black, 42",black,42,1,0,0,0,0,0,0,0,0,0.6666666666666666
"red, 43",red,43,1,0,0,1,1,1,1,0,0,-0.3333333333333333
"white, 43",white,43,0,0,0,0,0,0,0,1,1,0.4666666666666667
"black, 43",black,43,0,1,0,0,0,0,0,0,0,0.1111111111111111
"red, 44",red,44,1,1,0,0,0,1,1,0,0,-0.3333333333333333
"white, 44",white,44,0,0,0,0,0,0,0,1,1,0.4666666666666667
"black, 44",black,44,0,0,0,1,0,0,0,0,0,0.1111111111111111
"red, 45",red,45,1,1,0,1,0,0,0,0,0,0.0
"white, 45",white,45,0,0,0,0,0,0,0,0,0,0.0
"black, 45",black,45,0,0,0,0,0,1,0,0,0,0.0
"red, 46",red,46,1,1,0,1,0,1,0,0,0,0.0
"white, 46",white,46,0,0,0,0,0,0,0,0,0,0.0
"black, 46",black,46,0,0,0,0,0,0,0,0,0,0.0
"red, 47",red,47,0,1,0,1,0,1,0,0,0,0.0
"white, 47",white,47,1,0,0,0,0,0,0,0,0,0.0
"black, 47",black,47,0,0,0,0,0,0,0,0,0,0.0
"red, 48",red,48,0,0,0,1,0,1,0,0,0,-0.7142857142857143
"white, 48",white,48,0,1,1,0,0,0,0,0,0,-0.2727272727272727
"black, 48",black,48,1,0,0,0,0,0,0,1,0,-0.2727272727272727
"red, 49",red,49,1,0,0,0,0,1,0,1,0,-0.3333333333333333
"white, 49",white,49,0,0,0,1,1,0,0,0,0,0.4666666666666667
"black, 49",black,49,0,1,1,0,0,0,0,0,0,0.1111111111111111
"red, 50",red,50,1,1,0,0,0,0,0,0,0,0.0
"white, 50",white,50,0,0,0,0,0,1,1,0,0,0.0
"black, 50",black,50,0,0,0,1,1,0,0,0,0,0.0
"red, 51",red,51,1,1,0,1,0,0,0,1,1,-0.7142857142857143
"white, 51",white,51,0,0,0,0,0,0,0,0,0,-0.2727272727272727
"black, 51",black,51,0,0,0,0,0,1,1,0,0,-0.2727272727272727
"red, 52",red,52,0,1,0,1,0,1,0,1,1,-0.3333333333333333
"white, 52",white,52,0,0,0,0,0,0,0,0,0,0.4666666666666667
"black, 52",black,52,1,0,0,0,0,0,0,0,0,0.1111111111111111
"red, 53",red,53,1,0,0,1,0,1,0,0,0,-0.3333333333333333
"white, 53",white,53,0,0,0,0,0,0,0,1,0,-0.5384615384615384
"black, 53",black,53,0,1,0,0,0,0,0,0,0,0.6666666666666666
"red, 54",red,54,1,1,0,0,0,1,0,0,0,0.0
"white, 54",white,54,0,0,0,0,0,0,0,0,0,-1.0
"black, 54",black,54,0,0,0,1,0,0,0,1,1,-0.6
"red, 55",red,55,1,1,0,1,0,0,0,0,0,-0.5
"white, 55",white,55,0,0,0,0,0,0,0,1,0,0.0
"black, 55",black,55,0,0,0,0,0,1,0,0,0,0.5
"red, 56",red,56,0,1,1,1,0,1,0,0,0,0.06666666666666667
"white, 56",white,56,0,0,0,0,0,0,0,1,0,0.3333333333333333
"black, 56",black,56,1,0,0,0,0,0,0,0,0,0.3333333333333333
"red, 57",red,57,1,0,0,1,1,1,0,0,0,-0.3333333333333333
"white, 57",white,57,0,0,0,0,0,0,0,1,0,-0.5384615384615384
"black, 57",black,57,0,1,1,0,0,0,0,0,0,0.6666666666666666
"red, 58",red,58,1,1,0,0,0,1,1,0,0,0.06666666666666667
